Zip Code,State,City,Average Annual Cost,Percent difference from national average
93407,California,San Luis Obispo,"$1,178",-38%
95419,California,Camp Meeker,"$1,222",-36%
94999,California,Petaluma,"$1,229",-35%
95192,California,San Jose,"$1,237",-35%
95480,California,Stewarts Point,"$1,239",-35%
95487,California,Vineburg,"$1,246",-34%
95101,California,San Jose,"$1,263",-33%
95042,California,New Almaden,"$1,266",-33%
94562,California,Oakville,"$1,269",-33%
93435,California,Harmony,"$1,272",-33%
93106,California,Santa Barbara,"$1,312",-31%
95141,California,San Jose,"$1,316",-31%
92182,California,San Diego,"$1,328",-30%
95044,California,Redwood Estates,"$1,364",-28%
95343,California,Merced,"$1,382",-27%
95538,California,Fort Dick,"$1,393",-27%
94974,California,San Quentin,"$1,406",-26%
93737,California,Fresno,"$1,410",-26%
92093,California,La Jolla,"$1,413",-26%
94615,California,Oakland,"$1,417",-25%
93661,California,Santa Rita Park,"$1,420",-25%
93740,California,Fresno,"$1,422",-25%
95836,California,Sacramento,"$1,423",-25%
93741,California,Fresno,"$1,424",-25%
92197,California,San Diego,"$1,425",-25%
92199,California,San Diego,"$1,434",-24%
95026,California,Holy City,"$1,434",-24%
92092,California,La Jolla,"$1,436",-24%
94617,California,Oakland,"$1,447",-24%
95253,California,Victor,"$1,449",-24%
92096,California,San Marcos,"$1,464",-23%
95676,California,Robbins,"$1,489",-22%
91804,California,Alhambra,"$1,499",-21%
95654,California,Martell,"$1,501",-21%
93670,California,Yettem,"$1,522",-20%
94188,California,San Francisco,"$1,532",-19%
91123,California,Pasadena,"$1,539",-19%
94143,California,San Francisco,"$1,547",-19%
93607,California,Burrel,"$1,569",-17%
95929,California,Chico,"$1,570",-17%
95644,California,Kit Carson,"$1,571",-17%
93282,California,Waukena,"$1,572",-17%
95424,California,Clearlake Park,"$1,578",-17%
92068,California,San Luis Rey,"$1,578",-17%
95913,California,Artois,"$1,589",-16%
95347,California,Moccasin,"$1,590",-16%
95613,California,Coloma,"$1,594",-16%
91743,California,Guasti,"$1,597",-16%
91758,California,Ontario,"$1,598",-16%
92799,California,Santa Ana,"$1,606",-15%
95309,California,Chinese Camp,"$1,609",-15%
95229,California,Douglas Flat,"$1,616",-15%
93237,California,Kaweah,"$1,625",-14%
95221,California,Altaville,"$1,627",-14%
95373,California,Standard,"$1,632",-14%
92862,California,Orange,"$1,638",-14%
92899,California,Anaheim,"$1,641",-14%
95656,California,Mount Aukum,"$1,643",-13%
94141,California,San Francisco,"$1,650",-13%
95972,California,Rackerby,"$1,657",-13%
93649,California,Piedra,"$1,672",-12%
92809,California,Anaheim,"$1,674",-12%
92650,California,East Irvine,"$1,674",-12%
90840,California,Long Beach,"$1,681",-11%
92697,California,Irvine,"$1,689",-11%
90833,California,Long Beach,"$1,694",-11%
90834,California,Long Beach,"$1,694",-11%
92609,California,El Toro,"$1,697",-11%
95712,California,Chicago Park,"$1,697",-11%
92521,California,Riverside,"$1,703",-10%
92403,California,San Bernardino,"$1,704",-10%
90835,California,Long Beach,"$1,705",-10%
92811,California,Atwood,"$1,715",-10%
95958,California,Nelson,"$1,740",-8%
92369,California,Patton,"$1,756",-8%
92318,California,Bryn Mawr,"$1,764",-7%
93542,California,Little Lake,"$1,767",-7%
93642,California,Mono Hot Springs,"$1,780",-6%
92878,California,Corona,"$1,781",-6%
91715,California,City Of Industry,"$1,791",-6%
91716,California,City Of Industry,"$1,791",-6%
92366,California,Mountain Pass,"$1,801",-5%
91714,California,City Of Industry,"$1,804",-5%
92323,California,Cima,"$1,806",-5%
92350,California,Loma Linda,"$1,806",-5%
95980,California,Storrie,"$1,838",-3%
96070,California,OBrien,"$1,851",-3%
96095,California,Whiskeytown,"$1,857",-2%
90261,California,Lawndale,"$1,888",-1%
90639,California,La Mirada,"$1,909",1%
92317,California,Blue Jay,"$1,910",1%
91383,California,Santa Clarita,"$1,916",1%
90311,California,Inglewood,"$1,931",2%
91023,California,Mount Wilson,"$1,941",2%
91382,California,Santa Clarita,"$1,944",2%
91610,California,Toluca Lake,"$2,053",8%
90134,California,Los Angeles,"$2,347",24%
93410,California,San Luis Obispo,"$1,164",-39%
93943,California,Monterey,"$1,292",-32%
94850,California,Richmond,"$1,332",-30%
93064,California,Brandeis,"$1,348",-29%
95680,California,Ryde,"$1,369",-28%
95234,California,Holt,"$1,438",-24%
93519,California,Cantil,"$1,597",-16%
90506,California,Torrance,"$1,606",-15%
95364,California,Pinecrest,"$1,623",-15%
95974,California,Richvale,"$1,635",-14%
95305,California,Big Oak Flat,"$1,640",-14%
95226,California,Campo Seco,"$1,640",-14%
95721,California,Echo Lake,"$1,664",-12%
91980,California,Tecate,"$1,669",-12%
93633,California,Kings Canyon National Pk,"$1,688",-11%
90831,California,Long Beach,"$1,694",-11%
95915,California,Belden,"$1,727",-9%
96061,California,Mill Creek,"$1,738",-8%
92338,California,Ludlow,"$1,808",-5%
92280,California,Vidal,"$1,834",-3%
92222,California,Bard,"$1,840",-3%
90747,California,Carson,"$1,911",1%
90079,California,Los Angeles,"$1,929",2%
91371,California,Woodland Hills,"$1,943",2%
90011,California,Los Angeles,"$1,999",5%
90650,California,Norwalk,"$1,841",-3%
91331,California,Pacoima,"$1,958",3%
90201,California,Bell Gardens,"$1,877",-1%
90044,California,Los Angeles,"$2,098",10%
92335,California,Fontana,"$1,617",-15%
92336,California,Fontana,"$1,676",-12%
94565,California,Pittsburg,"$1,360",-28%
90250,California,Hawthorne,"$1,863",-2%
90805,California,Long Beach,"$1,726",-9%
90280,California,South Gate,"$1,872",-1%
91342,California,Los Angeles,"$1,998",5%
92503,California,Riverside,"$1,647",-13%
92683,California,Westminster,"$1,543",-19%
91710,California,Chino,"$1,604",-16%
92154,California,San Diego,"$1,294",-32%
91911,California,Chula Vista,"$1,353",-29%
92804,California,Anaheim,"$1,525",-20%
92376,California,Rialto,"$1,650",-13%
93307,California,Bakersfield,"$1,440",-24%
92592,California,Temecula,"$1,638",-14%
92704,California,Santa Ana,"$1,553",-18%
93722,California,Fresno,"$1,412",-26%
94112,California,San Francisco,"$1,538",-19%
93033,California,Oxnard,"$1,230",-35%
93727,California,Fresno,"$1,409",-26%
95076,California,Watsonville,"$1,394",-27%
92345,California,Hesperia,"$1,725",-9%
91744,California,La Puente,"$1,565",-18%
92126,California,San Diego,"$1,340",-29%
91709,California,Chino Hills,"$1,599",-16%
92509,California,Rubidoux,"$1,646",-13%
91335,California,Reseda,"$2,062",9%
95823,California,Sacramento,"$1,430",-25%
95630,California,Folsom,"$1,381",-27%
94533,California,Fairfield,"$1,322",-30%
94544,California,Hayward,"$1,361",-28%
91706,California,Baldwin Park,"$1,513",-20%
90706,California,Bellflower,"$1,834",-3%
92105,California,San Diego,"$1,296",-32%
93550,California,Palmdale,"$2,224",17%
93257,California,Porterville,"$1,406",-26%
95035,California,Milpitas,"$1,258",-34%
93274,California,Tulare,"$1,355",-29%
94587,California,Union City,"$1,330",-30%
93535,California,Lancaster,"$2,186",15%
91730,California,Rancho Cucamonga,"$1,580",-17%
92882,California,Corona,"$1,713",-10%
92805,California,Anaheim,"$1,535",-19%
94536,California,Fremont,"$1,303",-31%
90255,California,Huntington Park,"$1,870",-2%
93306,California,Bakersfield,"$1,461",-23%
91910,California,Chula Vista,"$1,368",-28%
90003,California,Los Angeles,"$2,090",10%
92553,California,Moreno Valley,"$1,643",-13%
94110,California,San Francisco,"$1,547",-19%
92880,California,Eastvale,"$1,628",-14%
93065,California,Simi Valley,"$1,335",-30%
92563,California,Murrieta,"$1,623",-15%
91766,California,Pomona,"$1,948",3%
92021,California,El Cajon,"$1,392",-27%
91402,California,Panorama City,"$1,951",3%
95123,California,San Jose,"$1,238",-35%
92114,California,San Diego,"$1,345",-29%
90262,California,Lynwood,"$1,881",-1%
94509,California,Antioch,"$1,342",-29%
95687,California,Vacaville,"$1,314",-31%
93230,California,Hanford,"$1,439",-24%
90631,California,La Habra,"$1,510",-20%
93536,California,Lancaster,"$2,227",17%
95747,California,Roseville,"$1,348",-29%
92407,California,San Bernardino,"$1,812",-5%
90026,California,Los Angeles,"$2,086",10%
90037,California,Los Angeles,"$2,104",11%
94538,California,Fremont,"$1,315",-31%
94080,California,South San Francisco,"$1,297",-32%
95624,California,Elk Grove,"$1,375",-28%
94558,California,Napa,"$1,285",-32%
92703,California,Santa Ana,"$1,515",-20%
94541,California,Hayward,"$1,373",-28%
90022,California,East Los Angeles,"$1,941",2%
95758,California,Elk Grove,"$1,365",-28%
92801,California,Anaheim,"$1,531",-19%
95206,California,Stockton,"$1,434",-24%
92677,California,Laguna Niguel,"$1,702",-10%
94513,California,Brentwood,"$1,348",-29%
91343,California,North Hills,"$1,995",5%
94015,California,Daly City,"$1,280",-33%
92562,California,Murrieta,"$1,687",-11%
92201,California,Indio,"$1,647",-13%
94501,California,Alameda,"$1,383",-27%
91762,California,Ontario,"$1,533",-19%
92115,California,San Diego,"$1,314",-31%
93906,California,Salinas,"$1,260",-34%
94806,California,San Pablo,"$1,346",-29%
95020,California,Gilroy,"$1,314",-31%
92346,California,Highland,"$1,664",-12%
91977,California,La Presa,"$1,371",-28%
92404,California,San Bernardino,"$1,739",-8%
95127,California,San Jose,"$1,309",-31%
91770,California,Rosemead,"$1,471",-23%
90640,California,Montebello,"$1,624",-14%
90019,California,Los Angeles,"$2,100",11%
91950,California,National City,"$1,331",-30%
92707,California,Santa Ana,"$1,531",-19%
90660,California,Pico Rivera,"$1,618",-15%
92627,California,Costa Mesa,"$1,545",-19%
92504,California,Riverside,"$1,642",-14%
95608,California,Carmichael,"$1,391",-27%
93905,California,Salinas,"$1,253",-34%
95014,California,Cupertino,"$1,215",-36%
92647,California,Huntington Beach,"$1,548",-18%
91702,California,Azusa,"$1,553",-18%
94122,California,San Francisco,"$1,528",-20%
95111,California,San Jose,"$1,274",-33%
90004,California,Los Angeles,"$1,987",5%
91732,California,El Monte,"$1,499",-21%
91761,California,Ontario,"$1,588",-16%
90731,California,Los Angeles,"$1,600",-16%
92630,California,Lake Forest,"$1,661",-13%
