Zip Code,State,City,Average Annual Cost,Percent difference from national average,County
93407,California,San Luis Obispo,"$1,178.00",-38.00%,San Luis Obispo County
95419,California,Camp Meeker,"$1,222.00",-36.00%,Sonoma County
94999,California,Petaluma,"$1,229.00",-35.00%,Sonoma County
95192,California,San Jose,"$1,237.00",-35.00%,Santa Clara County
95480,California,Stewarts Point,"$1,239.00",-35.00%,Sonoma County
95487,California,Vineburg,"$1,246.00",-34.00%,Sonoma County
95101,California,San Jose,"$1,263.00",-33.00%,Santa Clara County
95042,California,New Almaden,"$1,266.00",-33.00%,Santa Clara County
94562,California,Oakville,"$1,269.00",-33.00%,Napa County
93435,California,Harmony,"$1,272.00",-33.00%,San Luis Obispo County
93106,California,Santa Barbara,"$1,312.00",-31.00%,Santa Barbara County
95141,California,San Jose,"$1,316.00",-31.00%,Santa Clara County
92182,California,San Diego,"$1,328.00",-30.00%,San Diego County
95044,California,Redwood Estates,"$1,364.00",-28.00%,Santa Clara County
95343,California,Merced,"$1,382.00",-27.00%,Merced County
95538,California,Fort Dick,"$1,393.00",-27.00%,Del Norte County
94974,California,San Quentin,"$1,406.00",-26.00%,Marin County
93737,California,Fresno,"$1,410.00",-26.00%,Fresno County
92093,California,La Jolla,"$1,413.00",-26.00%,San Diego County
94615,California,Oakland,"$1,417.00",-25.00%,Alameda County
93661,California,Santa Rita Park,"$1,420.00",-25.00%,Merced County
93740,California,Fresno,"$1,422.00",-25.00%,Fresno County
95836,California,Sacramento,"$1,423.00",-25.00%,Sacramento County
93741,California,Fresno,"$1,424.00",-25.00%,Fresno County
92197,California,San Diego,"$1,425.00",-25.00%,San Diego County
92199,California,San Diego,"$1,434.00",-24.00%,San Diego County
95026,California,Holy City,"$1,434.00",-24.00%,Santa Clara County
92092,California,La Jolla,"$1,436.00",-24.00%,San Diego County
94617,California,Oakland,"$1,447.00",-24.00%,Alameda County
95253,California,Victor,"$1,449.00",-24.00%,San Bernardino County
92096,California,San Marcos,"$1,464.00",-23.00%,San Diego County
95676,California,Robbins,"$1,489.00",-22.00%,Sutter County
91804,California,Alhambra,"$1,499.00",-21.00%,Los Angeles County
95654,California,Martell,"$1,501.00",-21.00%,Amador County
93670,California,Yettem,"$1,522.00",-20.00%,Tulare County
94188,California,San Francisco,"$1,532.00",-19.00%,San Francisco County
91123,California,Pasadena,"$1,539.00",-19.00%,Los Angeles County
94143,California,San Francisco,"$1,547.00",-19.00%,San Francisco County
93607,California,Burrel,"$1,569.00",-17.00%,Fresno County
